ubigeo;aet;pet;pr;ro;soil;tmmn;tmmx;vs
220508;82.428295;86.475419;126.423022;29.290783;175.586786;18.264768;28.546471;11.16822
220509;87.694775;93.414069;121.32579;9.939818;212.849749;19.881188;31.534653;9.747525
220510;83.197193;89.073618;113.015549;8.499413;185.59824;18.509426;29.182445;11.317691
220511;84.780126;91.211434;111.607365;6.881643;224.485769;19.035319;30.8;10.396879
220601;90.601139;97.726115;126.423032;14.147364;145.053369;19.829272;31.867585;11.281119
220602;88.727004;94.956556;136.78054;35.643651;180.854674;17.124673;29.730132;14.212245
220603;74.818442;88.328635;84.125192;5.150159;54.682106;10.484453;23.540998;22.258051
220604;83.19761;93.473203;98.067041;5.396869;62.953662;17.193812;28.711362;14.109005
220605;92.088433;98.608041;133.80757;20.655981;212.55313;20.207357;32.428992;10.589319
220701;84.041731;96.417688;92.88461;4.759659;95.123265;20.506364;33.171818;9.109205
220702;83.822874;93.46683;98.759038;5.354565;146.845695;19.672623;32.202615;9.570404
220703;83.195439;95.947157;89.241734;4.326861;76.782735;20.338511;32.953722;9.352751
220704;84.679875;95.378292;98.477934;5.147887;143.412764;19.94507;32.671127;9.113028
220705;83.256339;95.551435;91.057085;4.518359;105.060981;20.215777;32.909709;9.193871
220706;85.042647;97.666432;92.121505;4.774194;67.230242;20.598387;33.158871;9.345968
220707;84.846189;97.317334;92.764424;4.990197;65.598035;20.531699;33.079904;9.416507
220708;86.760965;91.725499;125.651194;19.836382;206.124891;18.583847;31.19428;9.868762
220709;85.796285;95.055702;104.912253;6.411186;148.246565;19.935625;32.603109;9.199707
220710;85.33123;90.724447;121.573378;18.846484;188.49167;18.45748;30.863032;9.852826
220801;81.841021;88.453931;109.101092;6.369881;159.938219;18.387161;27.086101;13.357538
220802;79.721319;85.788019;103.257444;7.755387;166.480275;15.201439;24.826463;16.988415
220803;78.882144;85.048504;100.438064;5.351707;170.26095;16.086858;25.524082;15.656975
220804;79.554782;85.726033;101.249747;6.2667;176.940149;15.768068;25.288016;16.281858
220805;76.403045;82.725715;95.497386;6.759563;139.213823;12.841187;23.105659;19.748588
220806;84.887037;91.08842;117.743285;8.291375;172.122413;19.390278;27.662963;12.462269
220807;85.581597;91.738729;115.864883;7.605037;160.487988;19.30742;27.762367;12.807067
220808;80.099989;87.495698;102.248042;5.690075;128.723367;17.679456;26.732931;13.790937
220809;85.538708;91.838778;115.77813;7.004642;171.448351;19.378226;27.781855;12.659073
220901;86.926735;93.076551;114.223526;11.144229;220.124485;19.791277;32.480426;9.24
220902;85.867318;93.511819;107.364021;6.527244;177.988822;19.591346;32.206731;9.250962
220903;86.975826;94.114239;112.052795;7.499303;231.472019;19.936232;32.638164;9.250242
220904;87.871148;91.611763;142.775034;40.845269;181.653732;19.366416;31.749715;8.766961
220905;90.226122;93.174365;172.865621;75.094609;139.422027;21.227989;32.97084;7.438893
220906;89.694306;92.535129;176.010215;76.984915;136.774901;21.321894;32.87619;7.735455
220907;88.667719;91.813205;159.463975;60.182877;161.385128;20.202989;32.310476;7.98581
220908;85.650078;93.992728;101.54133;5.315315;182.155221;20.106564;33.043629;8.993436
220909;86.284755;90.783503;126.062662;24.428643;210.853537;18.982081;31.120715;9.629056
220910;86.691842;94.703381;106.816896;5.86882;219.938582;20.157692;33.184615;9.073798
220911;88.952152;92.020788;171.750412;74.704414;125.880213;21.418083;32.780895;7.365641
220912;85.556768;89.807926;126.071191;24.345509;217.984259;18.812303;30.396845;10.071767
220913;85.077016;91.263064;117.51879;14.700584;187.227202;18.750856;31.064548;9.739364
220914;86.515977;91.613568;122.014436;16.466448;200.589754;19.17971;31.646584;9.309627
221001;92.596827;96.348419;171.117077;69.257638;291.349086;17.38033;30.191597;14.147921
221002;93.895581;96.043382;213.405253;113.08654;269.076521;17.784728;30.687675;12.909006
221003;86.325246;94.47121;126.798785;32.432944;168.015981;15.134658;28.325396;16.76722
221004;69.921265;86.015714;71.070025;3.17904;91.572623;7.241045;21.838133;26.343714
221005;93.125703;96.107809;197.70771;99.288179;292.983957;17.511436;30.340659;13.615931
230101;0.034538;110.18483;0.008477;0;0.187801;11.492945;22.057344;27.078084
230102;0.02514;117.06968;0.002292;0;0.119199;11.085421;23.414769;22.571347
230103;0.02965;116.752217;0;0;0.1;11.614561;23.57334;22.310493
230104;0.006638;119.158796;0;0;0.1;10.510596;23.453841;22.143444
